Date,DBT,WBT
7/3/2017 12:00:00 AM IST,27.95,24.576544
7/3/2017 12:05:00 AM IST,27.95,24.601542
7/3/2017 12:10:00 AM IST,27.95,24.601542
7/3/2017 12:15:00 AM IST,27.95,24.618208
7/3/2017 12:20:00 AM IST,27.95,24.626541
7/3/2017 12:25:00 AM IST,27.95,24.626541
7/3/2017 12:30:00 AM IST,27.95,24.626541
7/3/2017 12:35:00 AM IST,27.95,24.626541
7/3/2017 12:40:00 AM IST,27.95,24.626541
7/3/2017 12:45:00 AM IST,27.95,24.643208
7/3/2017 12:50:00 AM IST,27.95,24.626541
7/3/2017 12:55:00 AM IST,27.95,24.626541
7/3/2017 01:00:00 AM IST,27.95,24.601542
7/3/2017 01:05:00 AM IST,27.95,24.618208
7/3/2017 01:10:00 AM IST,27.95,24.659874
7/3/2017 01:15:00 AM IST,27.95,24.643208
7/3/2017 01:20:00 AM IST,27.95,24.643208
7/3/2017 01:25:00 AM IST,27.95,24.668205
7/3/2017 01:30:00 AM IST,27.9,24.619928
7/3/2017 01:35:00 AM IST,27.9,24.619928
7/3/2017 01:40:00 AM IST,27.9,24.611595
7/3/2017 01:45:00 AM IST,27.9,24.59493
7/3/2017 01:50:00 AM IST,27.9,24.578264
7/3/2017 01:55:00 AM IST,27.9,24.561598
7/3/2017 02:00:00 AM IST,27.849998,24.529987
7/3/2017 02:05:00 AM IST,27.849998,24.554985
7/3/2017 02:10:00 AM IST,27.849998,24.588318
7/3/2017 02:15:00 AM IST,27.849998,24.588318
7/3/2017 02:20:00 AM IST,27.849998,24.588318
7/3/2017 02:25:00 AM IST,27.849998,24.604988
7/3/2017 02:30:00 AM IST,27.849998,24.621653
7/3/2017 02:35:00 AM IST,27.849998,24.646654
7/3/2017 02:40:00 AM IST,27.75,24.575102
7/3/2017 02:45:00 AM IST,27.75,24.600101
7/3/2017 02:50:00 AM IST,27.75,24.608435
7/3/2017 02:55:00 AM IST,27.7,24.551828
7/3/2017 03:00:00 AM IST,27.650002,24.511885
7/3/2017 03:05:00 AM IST,27.650002,24.536888
7/3/2017 03:10:00 AM IST,27.650002,24.461887
7/3/2017 03:15:00 AM IST,27.6,24.455275
7/3/2017 03:20:00 AM IST,27.6,24.463606
7/3/2017 03:25:00 AM IST,27.6,24.463606
7/3/2017 03:30:00 AM IST,27.6,24.48861
7/3/2017 03:35:00 AM IST,27.6,24.521942
7/3/2017 03:40:00 AM IST,27.6,24.463606
7/3/2017 03:45:00 AM IST,27.6,24.48861
7/3/2017 03:50:00 AM IST,27.6,24.505276
7/3/2017 03:55:00 AM IST,27.6,24.530275
7/3/2017 04:00:00 AM IST,27.6,24.546942
7/3/2017 04:05:00 AM IST,27.6,24.530275
7/3/2017 04:10:00 AM IST,27.55,24.506996
7/3/2017 04:15:00 AM IST,27.55,24.498665
7/3/2017 04:20:00 AM IST,27.55,24.456999
7/3/2017 04:25:00 AM IST,27.55,24.440332
7/3/2017 04:30:00 AM IST,27.55,24.456999
7/3/2017 04:35:00 AM IST,27.55,24.465332
7/3/2017 04:40:00 AM IST,27.55,24.506996
7/3/2017 04:45:00 AM IST,27.55,24.532
7/3/2017 04:50:00 AM IST,27.55,24.548666
7/3/2017 04:55:00 AM IST,27.55,24.523668
7/3/2017 05:00:00 AM IST,27.6,24.555275
7/3/2017 05:05:00 AM IST,27.6,24.580278
7/3/2017 05:10:00 AM IST,27.6,24.546942
7/3/2017 05:15:00 AM IST,27.6,24.580278
7/3/2017 05:20:00 AM IST,27.55,24.523668
7/3/2017 05:25:00 AM IST,27.55,24.506996
7/3/2017 05:30:00 AM IST,27.55,24.532
7/3/2017 05:35:00 AM IST,27.55,24.56533
7/3/2017 05:40:00 AM IST,27.6,24.638607
7/3/2017 05:45:00 AM IST,27.6,24.62194
7/3/2017 05:50:00 AM IST,27.6,24.638607
7/3/2017 05:55:00 AM IST,27.6,24.65528
7/3/2017 06:00:00 AM IST,27.6,24.65528
7/3/2017 06:05:00 AM IST,27.650002,24.703556
7/3/2017 06:10:00 AM IST,27.7,24.743496
7/3/2017 06:15:00 AM IST,27.7,24.751833
7/3/2017 06:20:00 AM IST,27.75,24.791769
7/3/2017 06:25:00 AM IST,27.8,24.823374
7/3/2017 06:30:00 AM IST,27.900002,24.894932
7/3/2017 06:35:00 AM IST,27.900002,24.878265
7/3/2017 06:40:00 AM IST,28,24.974815
7/3/2017 06:45:00 AM IST,28.05,25.01476
7/3/2017 06:50:00 AM IST,28.05,25.01476
7/3/2017 06:55:00 AM IST,28.1,25.038033
7/3/2017 07:00:00 AM IST,28.15,25.069645
7/3/2017 07:05:00 AM IST,28.15,25.069645
7/3/2017 07:10:00 AM IST,28.3,24.803137
7/3/2017 07:15:00 AM IST,28.400002,24.885895
7/3/2017 07:20:00 AM IST,28.55,24.993368
7/3/2017 07:25:00 AM IST,28.55,24.976696
7/3/2017 07:30:00 AM IST,28.75,25.125546
7/3/2017 07:35:00 AM IST,28.75,25.09777
7/3/2017 07:40:00 AM IST,29,25.315775
7/3/2017 07:45:00 AM IST,29.05,25.357155
7/3/2017 07:50:00 AM IST,29.1,25.387428
7/3/2017 07:55:00 AM IST,29.1,25.370758
7/3/2017 08:00:00 AM IST,29.25,25.494894
7/3/2017 08:05:00 AM IST,29.3,25.536276
7/3/2017 08:10:00 AM IST,29.45,25.643744
7/3/2017 08:15:00 AM IST,29.5,25.679567
7/3/2017 08:20:00 AM IST,29.8,25.894512
7/3/2017 08:25:00 AM IST,30,26.043362
7/3/2017 08:30:00 AM IST,30.3,26.247189
7/3/2017 08:35:00 AM IST,30.35,26.255241
7/3/2017 08:40:00 AM IST,30.5,26.368263
7/3/2017 08:45:00 AM IST,30.650002,26.475737
7/3/2017 08:50:00 AM IST,30.650002,26.48685
7/3/2017 08:55:00 AM IST,30.7,26.461557
7/3/2017 09:00:00 AM IST,30.75,26.486275
7/3/2017 09:05:00 AM IST,31,26.670952
7/3/2017 09:10:00 AM IST,31.3,26.91367
7/3/2017 09:15:00 AM IST,31.35,26.95505
7/3/2017 09:20:00 AM IST,31.55,27.087233
7/3/2017 09:25:00 AM IST,31.55,27.076118
7/3/2017 09:30:00 AM IST,31.55,27.053902
7/3/2017 09:35:00 AM IST,31.6,27.067501
7/3/2017 09:40:00 AM IST,31.300001,26.79145
7/3/2017 09:45:00 AM IST,31.300001,26.808115
7/3/2017 09:50:00 AM IST,31.300001,26.858114
7/3/2017 09:55:00 AM IST,31.300001,26.83034
7/3/2017 10:00:00 AM IST,31.2,26.73091
7/3/2017 10:05:00 AM IST,31.2,26.708693
7/3/2017 10:10:00 AM IST,31.25,26.761183
7/3/2017 10:15:00 AM IST,31.25,26.761183
7/3/2017 10:20:00 AM IST,31.400002,26.874212
7/3/2017 10:25:00 AM IST,31.6,27.061945
7/3/2017 10:30:00 AM IST,31.95,27.262709
7/3/2017 10:35:00 AM IST,32,27.276314
7/3/2017 10:40:00 AM IST,32.35,27.627588
7/3/2017 10:45:00 AM IST,32.4,27.600874
7/3/2017 10:50:00 AM IST,32.55,27.77903
7/3/2017 10:55:00 AM IST,32.7,27.873857
7/3/2017 11:00:00 AM IST,32.95,28.07357
7/3/2017 11:05:00 AM IST,33.05,28.086788
7/3/2017 11:10:00 AM IST,33.15,27.972036
7/3/2017 11:15:00 AM IST,33.15,28.13334
7/3/2017 11:20:00 AM IST,33.4,28.195606
7/3/2017 11:25:00 AM IST,33.4,28.374722
7/3/2017 11:30:00 AM IST,33.25,28.03813
7/3/2017 11:35:00 AM IST,33.25,28.054796
7/3/2017 11:40:00 AM IST,33.45,28.228645
7/3/2017 11:45:00 AM IST,33.45,28.195312
7/3/2017 11:50:00 AM IST,33.45,28.186981
7/3/2017 11:55:00 AM IST,33.5,28.19503
7/3/2017 12:00:00 PM IST,33.75,28.310259
7/3/2017 12:05:00 PM IST,33.8,28.351635
7/3/2017 12:10:00 PM IST,33.95,28.409105
7/3/2017 12:15:00 PM IST,34,28.483818
7/3/2017 12:20:00 PM IST,34.15,28.54963
7/3/2017 12:25:00 PM IST,34.2,28.474339
7/3/2017 12:30:00 PM IST,34.2,28.50767
7/3/2017 12:35:00 PM IST,34.2,28.50767
7/3/2017 12:40:00 PM IST,34.2,28.432669
7/3/2017 12:45:00 PM IST,34.25,28.449045
7/3/2017 12:50:00 PM IST,34.4,28.60652
7/3/2017 12:55:00 PM IST,34.45,28.614567
7/3/2017 01:00:00 PM IST,34.45,28.5479
7/3/2017 01:05:00 PM IST,34.4,28.498182
7/3/2017 01:10:00 PM IST,34.550003,28.555664
7/3/2017 01:15:00 PM IST,34.65,28.530087
7/3/2017 01:20:00 PM IST,34.9,28.745317
7/3/2017 01:25:00 PM IST,34.95,28.828362
7/3/2017 01:30:00 PM IST,35.1,28.84416
7/3/2017 01:35:00 PM IST,35.050003,28.83612
7/3/2017 01:40:00 PM IST,34.800003,28.662554
7/3/2017 01:45:00 PM IST,34.85,28.6706
7/3/2017 01:50:00 PM IST,35,28.819742
7/3/2017 01:55:00 PM IST,35,28.828074
7/3/2017 02:00:00 PM IST,35.05,28.852783
7/3/2017 02:05:00 PM IST,35.05,28.844452
7/3/2017 02:10:00 PM IST,35.2,28.793589
7/3/2017 02:15:00 PM IST,35.15,28.86888
7/3/2017 02:20:00 PM IST,34.949997,28.770023
7/3/2017 02:25:00 PM IST,34.9,28.728651
7/3/2017 02:30:00 PM IST,34.9,28.703648
7/3/2017 02:35:00 PM IST,34.9,28.703648
7/3/2017 02:40:00 PM IST,34.9,28.761984
7/3/2017 02:45:00 PM IST,34.85,28.778938
7/3/2017 02:50:00 PM IST,34.95,28.828362
7/3/2017 02:55:00 PM IST,34.95,28.845028
7/3/2017 03:00:00 PM IST,35.15,28.96888
7/3/2017 03:05:00 PM IST,35.15,29.027214
7/3/2017 03:10:00 PM IST,35.15,29.077213
7/3/2017 03:15:00 PM IST,35.2,29.06859
7/3/2017 03:20:00 PM IST,35.2,29.05192
7/3/2017 03:25:00 PM IST,35.25,29.03497
7/3/2017 03:30:00 PM IST,35.3,29.134678
7/3/2017 03:35:00 PM IST,35.3,29.059683
7/3/2017 03:40:00 PM IST,35.45,29.133816
7/3/2017 03:45:00 PM IST,35.4,29.092442
7/3/2017 03:50:00 PM IST,35.1,28.969156
7/3/2017 03:55:00 PM IST,35.1,28.98583
7/3/2017 04:00:00 PM IST,35.25,29.076637
7/3/2017 04:05:00 PM IST,35.25,29.093302
7/3/2017 04:10:00 PM IST,35.2,29.026924
7/3/2017 04:15:00 PM IST,35.2,29.06859
7/3/2017 04:20:00 PM IST,35.2,29.06859
7/3/2017 04:25:00 PM IST,35.2,28.976921
7/3/2017 04:30:00 PM IST,35.25,29.051636
7/3/2017 04:35:00 PM IST,35.25,29.001635
7/3/2017 04:40:00 PM IST,35.300003,28.99302
7/3/2017 04:45:00 PM IST,35.300003,29.059685
7/3/2017 04:50:00 PM IST,35.300003,29.018015
7/3/2017 04:55:00 PM IST,35.300003,28.99302
7/3/2017 05:00:00 PM IST,35.25,28.893303
7/3/2017 05:05:00 PM IST,35.25,28.93497
7/3/2017 05:10:00 PM IST,35.15,28.86888
7/3/2017 05:15:00 PM IST,35.15,28.852213
7/3/2017 05:20:00 PM IST,35,28.661404
7/3/2017 05:25:00 PM IST,34.9,28.603651
7/3/2017 05:30:00 PM IST,34.9,28.603651
7/3/2017 05:35:00 PM IST,34.85,28.5456
7/3/2017 05:40:00 PM IST,34.55,28.380661
7/3/2017 05:45:00 PM IST,34.300003,28.215431
7/3/2017 05:50:00 PM IST,34.15,28.149626
7/3/2017 05:55:00 PM IST,34.15,28.141293
7/3/2017 06:00:00 PM IST,34,28.033821
7/3/2017 06:05:00 PM IST,34,28.025488
7/3/2017 06:10:00 PM IST,33.85,27.884678
7/3/2017 06:15:00 PM IST,33.85,28.009678
7/3/2017 06:20:00 PM IST,33.75,27.910257
7/3/2017 06:25:00 PM IST,33.65,27.827501
7/3/2017 06:30:00 PM IST,33.550003,27.769737
7/3/2017 06:35:00 PM IST,33.5,27.761692
7/3/2017 06:40:00 PM IST,33.4,27.687273
7/3/2017 06:45:00 PM IST,33.3,27.721182
7/3/2017 06:50:00 PM IST,33.15,27.63037
7/3/2017 06:55:00 PM IST,33.15,27.672035
7/3/2017 07:00:00 PM IST,32.95,27.53152
7/3/2017 07:05:00 PM IST,32.95,27.539856
7/3/2017 07:10:00 PM IST,32.8,27.432383
7/3/2017 07:15:00 PM IST,32.8,27.482382
7/3/2017 07:20:00 PM IST,32.6,27.400194
7/3/2017 07:25:00 PM IST,32.55,27.375488
7/3/2017 07:30:00 PM IST,32.45,27.21773
7/3/2017 07:35:00 PM IST,32.4,27.193014
7/3/2017 07:40:00 PM IST,32.3,27.135256
7/3/2017 07:45:00 PM IST,32.2,27.077497
7/3/2017 07:50:00 PM IST,32.15,27.102789
7/3/2017 07:55:00 PM IST,32.1,27.061409
7/3/2017 08:00:00 PM IST,32.05,27.028358
7/3/2017 08:05:00 PM IST,32.05,27.028358
7/3/2017 08:10:00 PM IST,31.95,26.97893
7/3/2017 08:15:00 PM IST,31.95,26.962263
7/3/2017 08:20:00 PM IST,31.95,27.001596
7/3/2017 08:25:00 PM IST,31.900002,26.965776
7/3/2017 08:30:00 PM IST,31.849998,26.941063
7/3/2017 08:35:00 PM IST,31.8,26.916351
7/3/2017 08:40:00 PM IST,31.75,26.90275
7/3/2017 08:45:00 PM IST,31.7,26.878038
7/3/2017 08:50:00 PM IST,31.65,26.853329
7/3/2017 08:55:00 PM IST,31.65,26.914438
7/3/2017 09:00:00 PM IST,31.55,26.8539
7/3/2017 09:05:00 PM IST,31.55,26.870567
7/3/2017 09:10:00 PM IST,31.5,26.856964
7/3/2017 09:15:00 PM IST,31.45,26.865587
7/3/2017 09:20:00 PM IST,31.45,26.83781
7/3/2017 09:25:00 PM IST,31.45,26.83781
7/3/2017 09:30:00 PM IST,31.4,26.801981
7/3/2017 09:35:00 PM IST,31.4,26.801981
7/3/2017 09:40:00 PM IST,31.3,26.785892
7/3/2017 09:45:00 PM IST,31.3,26.77478
7/3/2017 09:50:00 PM IST,31.25,26.761183
7/3/2017 09:55:00 PM IST,31.25,26.727852
7/3/2017 10:00:00 PM IST,31.2,26.680912
7/3/2017 10:05:00 PM IST,31.150002,26.656197
7/3/2017 10:10:00 PM IST,31.05,26.590105
7/3/2017 10:15:00 PM IST,31,26.532064
7/3/2017 10:20:00 PM IST,30.95,26.501795
7/3/2017 10:25:00 PM IST,30.95,26.496239
7/3/2017 10:30:00 PM IST,30.900002,26.449305
7/3/2017 10:35:00 PM IST,30.900002,26.52153
7/3/2017 10:40:00 PM IST,30.8,26.427654
7/3/2017 10:45:00 PM IST,30.75,26.325161
7/3/2017 10:50:00 PM IST,30.75,26.330719
7/3/2017 10:55:00 PM IST,30.75,26.330719
7/3/2017 11:00:00 PM IST,30.7,26.317114
7/3/2017 11:05:00 PM IST,30.65,26.242405
7/3/2017 11:10:00 PM IST,30.65,26.242405
7/3/2017 11:15:00 PM IST,30.65,26.259071
7/3/2017 11:20:00 PM IST,30.6,26.278805
7/3/2017 11:25:00 PM IST,30.6,26.23436
7/3/2017 11:30:00 PM IST,30.55,26.18187
7/3/2017 11:35:00 PM IST,30.55,26.19298
7/3/2017 11:40:00 PM IST,30.5,26.179377
7/3/2017 11:45:00 PM IST,30.5,26.184933
7/3/2017 11:50:00 PM IST,30.45,26.126892
7/3/2017 11:55:00 PM IST,30.45,26.187998
